Date and Time,Temperature,pH,Turbidity (NTU),Disease,Chemicals
1/16/2023 16:46,25.57,7.77,20,Optimal,Good
1/16/2023 16:46,25.57,7.77,20,Optimal,Good
1/16/2023 16:47,25.54,7.77,20,Optimal,Good
1/16/2023 16:48,24.54,7.77,20,Optimal,Good
1/16/2023 16:49,24.55,7.77,20,Optimal,Good
1/16/2023 16:50,24.55,7.77,20,Optimal,Good
1/16/2023 16:51,24.55,7.77,20,Optimal,Good
1/16/2023 16:52,24.52,7.77,20,Optimal,Good
1/16/2023 16:53,24.51,7.76,20,Optimal,Good
1/16/2023 16:54,24.48,7.76,20,Optimal,Good
1/16/2023 16:55,24.5,7.76,20,Optimal,Good
1/16/2023 16:56,24.49,7.76,20,Optimal,Good
1/16/2023 16:57,24.47,7.76,20,Optimal,Good
1/16/2023 16:58,24.49,7.76,20,Optimal,Good
1/16/2023 16:59,24.5,7.76,20,Optimal,Good
1/16/2023 16:59,24.52,7.76,20,Optimal,Good
1/16/2023 17:01,24.51,7.76,20,Optimal,Good
1/16/2023 17:01,24.49,7.75,20,Optimal,Good
1/16/2023 17:02,24.51,7.75,20,Optimal,Good
1/16/2023 17:03,24.49,7.75,20,Optimal,Good
1/16/2023 17:04,24.46,7.75,20,Optimal,Good
1/16/2023 17:05,24.46,7.75,20,Optimal,Good
1/16/2023 17:06,24.43,7.75,20,Optimal,Good
1/16/2023 17:07,24.43,7.75,20,Optimal,Good
1/16/2023 17:08,24.44,7.75,20,Optimal,Good
1/16/2023 17:09,24.41,7.75,20,Optimal,Good
1/16/2023 17:10,24.4,7.75,20,Optimal,Good
1/16/2023 17:11,24.41,7.74,20,Optimal,Good
1/16/2023 17:12,24.42,7.74,20,Optimal,Good
1/16/2023 17:13,24.42,7.74,20,Optimal,Good
1/16/2023 17:14,24.42,7.74,20,Optimal,Good
1/16/2023 17:15,24.44,7.74,20,Optimal,Good
1/16/2023 17:16,24.43,7.74,20,Optimal,Good
1/16/2023 17:19,24.43,7.74,20,Optimal,Good
1/16/2023 17:20,24.44,7.74,20,Optimal,Good
1/16/2023 17:21,24.45,7.74,20,Optimal,Good
1/16/2023 17:24,24.45,7.74,20,Optimal,Good
1/16/2023 17:25,24.44,7.74,20,Optimal,Good
1/16/2023 17:26,24.42,7.73,20,Optimal,Good
1/16/2023 17:27,24.42,7.73,20,Optimal,Good
1/16/2023 17:28,24.42,7.73,20,Optimal,Good
1/16/2023 17:29,24.41,7.73,20,Optimal,Good
1/16/2023 17:30,24.41,7.73,20,Optimal,Good
1/16/2023 17:31,24.38,7.73,20,Optimal,Good
1/16/2023 17:32,24.38,7.73,20,Optimal,Good
1/16/2023 17:33,24.4,7.73,20,Optimal,Good
1/16/2023 17:34,24.38,7.73,20,Optimal,Good
1/16/2023 17:36,24.38,7.73,20,Optimal,Good
1/16/2023 17:37,24.37,7.73,20,Optimal,Good
1/17/2023 17:39,28.36,7.13,20,Aeromonas,Good
1/17/2023 17:39,28.37,7.13,20,Aeromonas,Good
1/17/2023 17:40,28.37,7.13,20,Aeromonas,Good
1/17/2023 17:41,28.39,7.13,20,Aeromonas,Good
1/17/2023 17:42,28.39,7.13,20,Aeromonas,Good
1/17/2023 17:43,28.39,7.13,20,Aeromonas,Good
1/17/2023 17:44,28.35,7.13,20,Aeromonas,Good
1/17/2023 17:45,28.36,7.13,20,Aeromonas,Good
1/17/2023 17:46,28.38,7.13,20,Aeromonas,Good
1/17/2023 17:47,28.35,7.13,20,Aeromonas,Good
1/17/2023 17:49,28.37,7.13,20,Aeromonas,Good
1/17/2023 17:50,28.35,7.13,20,Aeromonas,Good
1/17/2023 17:51,28.36,7.13,20,Aeromonas,Good
1/17/2023 17:52,28.37,7.13,20,Aeromonas,Good
1/17/2023 17:53,28.35,7.13,20,Aeromonas,Good
1/17/2023 17:53,28.37,7.13,20,Aeromonas,Good
1/17/2023 17:54,28.38,7.13,20,Aeromonas,Good
1/17/2023 17:55,28.38,7.13,20,Aeromonas,Good
1/17/2023 17:56,28.36,7.13,20,Aeromonas,Good
1/17/2023 17:57,28.33,7.12,20,Aeromonas,Good
1/17/2023 17:58,28.3,7.12,20,Aeromonas,Good
1/17/2023 17:59,28.31,7.12,20,Aeromonas,Good
1/17/2023 18:00,28.31,7.12,20,Aeromonas,Good
1/17/2023 18:02,28.29,7.12,20,Aeromonas,Good
1/17/2023 18:03,28.27,7.12,20,Aeromonas,Good
1/17/2023 18:04,28.19,7.12,20,Aeromonas,Good
1/17/2023 18:05,28.27,7.12,20,Aeromonas,Good
1/17/2023 18:06,28.28,7.12,20,Aeromonas,Good
1/17/2023 18:08,28.19,7.12,20,Aeromonas,Good
1/17/2023 18:09,28.25,7.12,20,Aeromonas,Good
1/17/2023 18:10,28.27,7.12,20,Aeromonas,Good
1/17/2023 18:11,28.28,7.12,20,Aeromonas,Good
1/17/2023 18:13,28.29,7.12,20,Aeromonas,Good
1/17/2023 18:15,28.19,7.12,20,Aeromonas,Good
1/17/2023 18:16,28.19,7.12,20,Aeromonas,Good
1/17/2023 18:17,28.19,7.12,20,Aeromonas,Good
1/17/2023 18:17,28.23,7.12,20,Aeromonas,Good
1/17/2023 18:18,28.24,7.12,20,Aeromonas,Good
1/17/2023 18:20,28.22,7.12,20,Aeromonas,Good
1/17/2023 18:21,28.21,7.12,20,Aeromonas,Good
1/17/2023 18:22,28.19,7.12,20,Aeromonas,Good
1/17/2023 18:23,28.27,7.12,20,Aeromonas,Good
1/17/2023 18:24,28.14,7.12,20,Aeromonas,Good
1/17/2023 18:26,28.13,7.12,20,Aeromonas,Good
1/17/2023 18:28,28.13,7.12,20,Aeromonas,Good
1/17/2023 18:29,28.14,7.12,20,Aeromonas,Good
1/17/2023 18:30,28.13,7.12,20,Aeromonas,Good
1/18/2023 18:31,25.11,7.72,20,Optimal,Good
1/18/2023 18:32,25.09,7.72,20,Optimal,Good
1/18/2023 18:33,25.09,7.72,20,Optimal,Good
1/18/2023 18:34,25.07,7.72,20,Optimal,Good
1/18/2023 18:35,25.06,7.72,20,Optimal,Good
1/18/2023 18:36,25.08,7.72,20,Optimal,Good
1/18/2023 18:37,25.08,7.72,20,Optimal,Good
1/18/2023 18:38,25.07,7.72,20,Optimal,Good
1/18/2023 18:39,25.07,7.72,20,Optimal,Good
1/18/2023 18:40,25.09,7.72,20,Optimal,Good
1/18/2023 18:41,25.09,7.72,20,Optimal,Good
1/18/2023 18:41,25.11,7.72,20,Optimal,Good
1/18/2023 18:43,25.13,7.72,20,Optimal,Good
1/18/2023 18:44,25.15,7.72,20,Optimal,Good
1/18/2023 18:45,25.12,7.72,20,Optimal,Good
1/18/2023 18:46,25.15,7.72,20,Optimal,Good
1/18/2023 18:47,25.13,7.72,20,Optimal,Good
1/18/2023 18:48,25.11,7.72,20,Optimal,Good
1/18/2023 18:49,25.12,7.72,20,Optimal,Good
1/18/2023 18:50,25.11,7.72,20,Optimal,Good
1/18/2023 18:51,25.11,7.72,20,Optimal,Good
1/18/2023 18:53,25.08,7.72,20,Optimal,Good
1/18/2023 18:54,25.08,7.72,20,Optimal,Good
1/18/2023 18:55,25.08,7.72,20,Optimal,Good
1/18/2023 18:56,25.1,7.73,20,Optimal,Good
1/18/2023 18:57,25.08,7.73,20,Optimal,Good
1/18/2023 18:58,25.05,7.73,20,Optimal,Good
1/18/2023 18:59,25.05,7.73,20,Optimal,Good
1/18/2023 19:00,25.05,7.73,20,Optimal,Good
1/18/2023 19:01,25.03,7.73,20,Optimal,Good
1/18/2023 19:02,25.05,7.73,20,Optimal,Good
1/18/2023 19:03,25.04,7.73,20,Optimal,Good
1/18/2023 19:04,25.05,7.73,20,Optimal,Good
1/18/2023 19:05,25.05,7.73,20,Optimal,Good
1/18/2023 19:06,25.04,7.73,20,Optimal,Good
1/18/2023 19:07,25.04,7.73,20,Optimal,Good
1/18/2023 19:09,25.03,7.74,20,Optimal,Good
1/18/2023 19:10,25.03,7.74,20,Optimal,Good
1/18/2023 19:10,25,7.74,20,Optimal,Good
1/18/2023 19:11,25.02,7.74,20,Optimal,Good
1/18/2023 19:12,25.02,7.74,20,Optimal,Good
1/18/2023 19:13,25.03,7.75,20,Optimal,Good
1/18/2023 19:14,25.03,7.75,20,Optimal,Good
1/18/2023 19:15,25.01,7.75,20,Optimal,Good
1/18/2023 19:16,25,7.75,20,Optimal,Good
1/18/2023 19:17,25.99,7.75,20,Optimal,Good
1/18/2023 19:18,25.96,7.76,20,Optimal,Good
1/18/2023 19:19,25.95,7.76,20,Optimal,Good
1/18/2023 19:20,25.93,7.76,20,Optimal,Good
1/18/2023 19:21,25.89,7.76,25,Optimal,Good
1/18/2023 19:22,25.87,7.77,25,Optimal,Good
1/18/2023 19:23,25.84,7.77,25,Optimal,Good
1/18/2023 19:24,25.8,7.78,25,Optimal,Good
1/18/2023 19:25,25.77,7.78,25,Optimal,Good
1/18/2023 19:26,25.75,7.78,25,Optimal,Good
1/18/2023 19:27,25.71,7.79,25,Optimal,Good
1/18/2023 19:28,25.69,7.79,25,Optimal,Good
1/18/2023 19:29,25.65,7.8,25,Optimal,Good
1/18/2023 19:30,25.64,7.8,25,Optimal,Good
1/18/2023 19:31,25.61,7.81,25,Optimal,Good
1/19/2023 19:32,24.58,7.81,25,Optimal,Good
1/19/2023 19:33,24.55,7.82,25,Optimal,Good
1/19/2023 19:34,24.55,7.82,25,Optimal,Good
1/19/2023 19:35,24.51,7.83,25,Optimal,Good
1/19/2023 19:36,24.46,7.83,25,Optimal,Good
1/19/2023 19:37,24.46,7.84,25,Optimal,Good
1/19/2023 19:38,24.43,7.85,25,Optimal,Good
1/19/2023 19:40,24.43,7.85,25,Optimal,Good
1/19/2023 19:42,24.39,7.86,25,Optimal,Good
1/19/2023 19:43,24.37,7.86,25,Optimal,Good
1/19/2023 19:44,24.34,7.87,25,Optimal,Good
1/19/2023 19:45,24.3,7.88,25,Optimal,Good
1/19/2023 19:46,24.19,7.88,25,Optimal,Good
1/19/2023 19:47,24.25,7.89,25,Optimal,Good
1/19/2023 19:48,24.25,7.89,25,Optimal,Good
1/19/2023 19:49,24.22,7.9,25,Optimal,Good
1/19/2023 19:51,24.23,7.9,25,Optimal,Good
1/19/2023 19:52,24.22,7.91,25,Optimal,Good
1/19/2023 19:53,24.21,7.92,25,Optimal,Good
1/19/2023 19:54,24.21,7.92,25,Optimal,Good
1/19/2023 19:55,24.19,7.93,25,Optimal,Good
1/19/2023 19:56,24.27,7.93,25,Optimal,Good
1/19/2023 19:57,24.15,7.94,25,Optimal,Good
1/19/2023 19:58,24.12,7.94,25,Optimal,Good
1/19/2023 19:59,24.11,7.95,25,Optimal,Good
1/19/2023 20:00,24.1,7.95,25,Optimal,Good
1/19/2023 20:01,24.08,7.96,25,Optimal,Good
1/19/2023 20:02,24.06,7.96,25,Optimal,Good
1/19/2023 20:03,24.06,7.97,25,Optimal,Good
1/19/2023 20:04,24.04,7.97,25,Optimal,Good
1/19/2023 20:05,24.01,7.97,25,Optimal,Good
1/19/2023 20:06,24.01,7.98,25,Optimal,Good
1/19/2023 20:07,24.02,7.98,25,Optimal,Good
1/19/2023 20:08,25.99,7.99,25,Optimal,Good
1/19/2023 20:09,25.96,7.99,25,Optimal,Good
1/19/2023 20:10,25.93,8,25,Optimal,Good
1/19/2023 20:11,25.91,8,25,Optimal,Good
1/19/2023 20:13,25.88,8.01,25,Optimal,Potassium Permanganate
1/19/2023 20:14,25.85,8.01,25,Optimal,Potassium Permanganate
1/19/2023 20:15,25.83,8.01,25,Optimal,Potassium Permanganate
1/19/2023 20:16,25.84,8.02,25,Optimal,Potassium Permanganate
1/19/2023 20:16,25.81,8.02,25,Optimal,Potassium Permanganate
1/19/2023 20:17,25.82,8.03,25,Optimal,Potassium Permanganate
1/19/2023 20:18,25.78,8.03,25,Optimal,Potassium Permanganate
1/19/2023 20:19,25.78,8.03,25,Optimal,Potassium Permanganate
1/19/2023 20:20,25.75,8.04,25,Optimal,Potassium Permanganate
1/19/2023 20:21,25.76,8.04,25,Optimal,Potassium Permanganate
1/19/2023 20:22,25.74,8.04,25,Optimal,Potassium Permanganate
1/19/2023 20:23,25.71,8.05,25,Optimal,Potassium Permanganate
1/19/2023 20:24,25.72,8.05,25,Optimal,Potassium Permanganate
1/19/2023 20:25,25.73,8.05,25,Optimal,Potassium Permanganate
1/19/2023 20:26,25.72,8.06,25,Optimal,Potassium Permanganate
1/19/2023 20:27,25.7,8.06,25,Optimal,Potassium Permanganate
1/19/2023 20:28,25.69,8.07,25,Optimal,Potassium Permanganate
1/19/2023 20:29,25.66,8.07,25,Optimal,Potassium Permanganate
1/19/2023 20:30,25.64,8.07,25,Optimal,Potassium Permanganate
1/19/2023 20:22,25.63,8.08,25,Optimal,Potassium Permanganate
1/19/2023 20:33,25.6,8.08,25,Optimal,Potassium Permanganate
1/19/2023 20:35,25.61,8.08,25,Optimal,Potassium Permanganate
1/19/2023 20:36,25.58,8.08,25,Optimal,Potassium Permanganate
1/19/2023 20:37,25.56,8.09,25,Optimal,Potassium Permanganate
1/19/2023 20:38,25.56,8.09,25,Optimal,Potassium Permanganate
1/19/2023 20:39,25.58,8.09,25,Optimal,Potassium Permanganate
1/19/2023 20:40,25.56,8.1,25,Optimal,Potassium Permanganate
1/19/2023 20:41,25.54,8.1,25,Optimal,Potassium Permanganate
1/19/2023 20:42,25.52,8.1,25,Optimal,Potassium Permanganate
1/19/2023 20:43,25.54,8.1,25,Optimal,Potassium Permanganate
1/19/2023 20:43,25.53,8.11,25,Optimal,Potassium Permanganate
1/19/2023 20:44,25.52,8.11,25,Optimal,Potassium Permanganate
1/19/2023 20:45,25.52,8.11,25,Optimal,Potassium Permanganate
1/19/2023 20:46,25.53,8.11,25,Optimal,Potassium Permanganate
1/19/2023 20:47,25.51,8.12,25,Optimal,Potassium Permanganate
1/19/2023 20:48,25.52,8.12,25,Optimal,Potassium Permanganate
1/19/2023 20:49,25.53,8.12,25,Optimal,Potassium Permanganate
1/19/2023 20:50,25.54,8.12,25,Optimal,Potassium Permanganate
1/19/2023 20:51,25.52,8.13,25,Optimal,Potassium Permanganate
1/19/2023 20:52,25.51,8.13,25,Optimal,Potassium Permanganate
1/19/2023 20:53,25.52,8.13,25,Optimal,Potassium Permanganate
1/19/2023 20:54,25.5,8.13,25,Optimal,Potassium Permanganate
1/19/2023 20:55,25.48,8.14,25,Optimal,Potassium Permanganate
1/19/2023 20:56,25.48,8.14,25,Optimal,Potassium Permanganate
1/19/2023 20:57,25.46,8.14,25,Optimal,Potassium Permanganate
1/19/2023 20:58,25.46,8.14,25,Optimal,Potassium Permanganate
1/19/2023 20:59,25.48,8.15,25,Optimal,Potassium Permanganate
1/19/2023 21:00,25.46,8.15,25,Optimal,Potassium Permanganate
1/19/2023 21:01,25.46,8.15,25,Optimal,Potassium Permanganate
1/19/2023 21:02,25.44,8.15,25,Optimal,Potassium Permanganate
1/19/2023 21:03,25.45,8.15,25,Optimal,Potassium Permanganate
1/19/2023 21:04,25.43,8.15,25,Optimal,Potassium Permanganate
1/19/2023 21:05,25.42,8.27,25,Optimal,Potassium Permanganate
1/19/2023 21:06,25.4,8.27,25,Optimal,Potassium Permanganate
1/19/2023 21:07,25.41,8.27,25,Optimal,Potassium Permanganate
1/19/2023 21:07,25.4,8.27,25,Optimal,Potassium Permanganate
1/19/2023 21:08,25.38,8.27,25,Optimal,Potassium Permanganate
1/19/2023 21:09,25.4,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:10,25.37,8.17,25,Optimal,Potassium Permanganate
1/19/2023 21:11,25.38,8.17,25,Optimal,Potassium Permanganate
1/19/2023 21:12,25.37,8.17,25,Optimal,Potassium Permanganate
1/19/2023 21:13,25.38,8.17,25,Optimal,Potassium Permanganate
1/19/2023 21:14,25.37,8.17,25,Optimal,Potassium Permanganate
1/19/2023 21:16,25.4,8.17,25,Optimal,Potassium Permanganate
1/19/2023 21:18,25.41,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:19,25.4,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:20,25.4,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:21,25.41,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:22,25.41,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:23,25.39,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:24,25.38,6.25,25,Optimal,Potassium Permanganate
1/19/2023 21:28,25.39,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:29,25.36,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:30,25.34,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:31,25.33,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:32,25.31,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:33,25.3,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:33,25.29,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:34,25.27,8.19,25,Optimal,Potassium Permanganate
1/19/2023 21:35,25.29,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:36,25.29,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:37,25.28,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:38,25.19,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:39,25.24,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:40,25.24,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:41,25.25,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:42,25.25,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:43,25.24,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:44,25.22,8.2,25,Optimal,Potassium Permanganate
1/19/2023 21:44,25.22,8.21,25,Optimal,Potassium Permanganate
1/19/2023 21:45,25.2,8.21,25,Optimal,Potassium Permanganate
1/19/2023 21:46,25.23,8.21,25,Optimal,Potassium Permanganate
1/19/2023 21:47,25.24,8.21,25,Optimal,Potassium Permanganate
1/19/2023 21:48,25.19,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:49,25.24,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:50,25.23,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:51,25.23,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:52,25.23,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:53,25.23,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:54,25.22,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:55,25.21,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:55,25.19,8.21,26,Optimal,Potassium Permanganate
1/19/2023 21:56,25.2,8.22,26,Optimal,Potassium Permanganate
1/19/2023 21:57,25.19,8.22,26,Optimal,Potassium Permanganate
1/19/2023 21:58,25.2,8.22,26,Optimal,Potassium Permanganate
1/19/2023 21:59,25.21,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:00,25.21,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:01,25.2,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:02,25.25,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:03,25.17,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:04,25.27,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:06,25.25,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:06,25.25,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:07,25.17,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:08,25.14,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:09,25.13,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:10,25.14,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:11,25.13,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:12,25.13,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:13,25.15,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:14,25.27,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:15,25.25,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:16,25.25,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:17,25.2,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:17,25.22,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:18,25.23,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:19,25.24,8.22,26,Optimal,Potassium Permanganate
1/19/2023 22:20,25.25,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:21,25.24,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:22,25.22,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:23,25.24,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:24,25.25,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:25,25.19,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:26,25.27,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:27,25.19,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:28,25.19,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:28,25.19,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:29,25.23,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:30,25.23,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:31,25.24,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:32,25.2,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:33,25.19,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:34,25.27,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:35,25.17,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:36,25.27,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:37,25.17,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:38,25.25,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:39,25.15,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:39,25.14,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:40,25.14,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:41,25.12,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:42,25.13,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:43,25.15,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:44,25.15,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:45,25.12,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:46,25.13,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:47,25.11,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:48,25.1,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:49,25.12,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:50,25.11,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:51,25.12,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:51,25.11,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:52,25.1,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:53,25.11,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:54,25.13,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:55,25.1,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:56,25.07,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:57,25.05,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:58,25.06,8.23,26,Optimal,Potassium Permanganate
1/19/2023 22:59,25.04,8.23,26,Optimal,Potassium Permanganate
1/19/2023 23:00,25.02,8.23,26,Optimal,Potassium Permanganate
1/19/2023 23:01,25,8.23,26,Optimal,Potassium Permanganate
1/19/2023 23:02,25,8.23,26,Optimal,Potassium Permanganate
1/19/2023 23:02,24.98,8.23,26,Optimal,Potassium Permanganate
1/19/2023 23:03,24.96,8.23,26,Optimal,Potassium Permanganate
1/19/2023 23:04,23.97,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:05,23.97,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:06,23.97,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:07,23.96,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:08,23.95,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:09,23.98,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:10,23.97,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:11,23.95,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:12,23.94,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:13,23.95,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:13,23.95,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:14,23.93,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:15,23.94,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:16,23.92,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:17,23.92,8.22,26,Optimal,Potassium Permanganate
1/19/2023 23:18,23.94,8.23,26,Optimal,Potassium Permanganate
